"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"baseline_30y"
"02/20/2026 23:17:58:214 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"10","0.52","2.81","1.56","1","3.36","1.66","15","648","91","557","0.1404320987654321"
"3","0.52","2.81","1.56","1","3.36","1.66","22","664","82","582","0.12349397590361445"
"12","0.52","2.81","1.56","1","3.36","1.66","18","690","107","583","0.15507246376811595"
"5","0.52","2.81","1.56","1","3.36","1.66","18","664","101","563","0.15210843373493976"
"11","0.52","2.81","1.56","1","3.36","1.66","14","648","95","553","0.14660493827160495"
"6","0.52","2.81","1.56","1","3.36","1.66","16","658","70","588","0.10638297872340426"
"2","0.52","2.81","1.56","1","3.36","1.66","23","692","132","560","0.1907514450867052"
"3","0.52","2.81","1.56","1","3.36","1.66","23","665","85","580","0.12781954887218044"
"12","0.52","2.81","1.56","1","3.36","1.66","19","687","108","579","0.1572052401746725"
"8","0.52","2.81","1.56","1","3.36","1.66","18","648","117","531","0.18055555555555555"
"1","0.52","2.81","1.56","1","3.36","1.66","23","677","105","572","0.155096011816839"
"7","0.52","2.81","1.56","1","3.36","1.66","13","685","77","608","0.11240875912408758"
"5","0.52","2.81","1.56","1","3.36","1.66","19","663","105","558","0.1583710407239819"
"4","0.52","2.81","1.56","1","3.36","1.66","22","665","116","549","0.17443609022556392"
"9","0.52","2.81","1.56","1","3.36","1.66","20","653","120","533","0.18376722817764166"
"12","0.52","2.81","1.56","1","3.36","1.66","20","688","108","580","0.1569767441860465"
"3","0.52","2.81","1.56","1","3.36","1.66","24","662","87","575","0.13141993957703926"
"2","0.52","2.81","1.56","1","3.36","1.66","24","692","136","556","0.19653179190751446"
"11","0.52","2.81","1.56","1","3.36","1.66","15","650","101","549","0.15538461538461537"
"4","0.52","2.81","1.56","1","3.36","1.66","23","666","113","553","0.16966966966966968"
"1","0.52","2.81","1.56","1","3.36","1.66","24","683","111","572","0.16251830161054173"
"6","0.52","2.81","1.56","1","3.36","1.66","17","653","73","580","0.11179173047473201"
"7","0.52","2.81","1.56","1","3.36","1.66","14","691","79","612","0.11432706222865413"
"9","0.52","2.81","1.56","1","3.36","1.66","21","646","123","523","0.19040247678018576"
"10","0.52","2.81","1.56","1","3.36","1.66","16","646","93","553","0.14396284829721362"
"12","0.52","2.81","1.56","1","3.36","1.66","21","683","110","573","0.16105417276720352"
"5","0.52","2.81","1.56","1","3.36","1.66","20","666","108","558","0.16216216216216217"
"4","0.52","2.81","1.56","1","3.36","1.66","24","668","114","554","0.17065868263473055"
"3","0.52","2.81","1.56","1","3.36","1.66","25","654","91","563","0.13914373088685014"
"2","0.52","2.81","1.56","1","3.36","1.66","25","696","139","557","0.1997126436781609"
"1","0.52","2.81","1.56","1","3.36","1.66","25","688","115","573","0.16715116279069767"
"11","0.52","2.81","1.56","1","3.36","1.66","16","656","103","553","0.15701219512195122"
"12","0.52","2.81","1.56","1","3.36","1.66","22","681","113","568","0.16593245227606462"
"9","0.52","2.81","1.56","1","3.36","1.66","22","648","125","523","0.19290123456790123"
"5","0.52","2.81","1.56","1","3.36","1.66","21","672","109","563","0.16220238095238096"
"7","0.52","2.81","1.56","1","3.36","1.66","15","690","81","609","0.11739130434782609"
"10","0.52","2.81","1.56","1","3.36","1.66","17","646","96","550","0.14860681114551083"
"3","0.52","2.81","1.56","1","3.36","1.66","26","657","92","565","0.1400304414003044"
"6","0.52","2.81","1.56","1","3.36","1.66","18","654","76","578","0.1162079510703364"
"1","0.52","2.81","1.56","1","3.36","1.66","26","679","116","563","0.17083946980854198"
"4","0.52","2.81","1.56","1","3.36","1.66","25","681","117","564","0.17180616740088106"
"12","0.52","2.81","1.56","1","3.36","1.66","23","677","111","566","0.16395864106351551"
"2","0.52","2.81","1.56","1","3.36","1.66","26","699","141","558","0.2017167381974249"
"11","0.52","2.81","1.56","1","3.36","1.66","17","654","105","549","0.16055045871559634"
"9","0.52","2.81","1.56","1","3.36","1.66","23","648","126","522","0.19444444444444445"
"1","0.52","2.81","1.56","1","3.36","1.66","27","681","118","563","0.17327459618208516"
"4","0.52","2.81","1.56","1","3.36","1.66","26","683","119","564","0.17423133235724744"
"10","0.52","2.81","1.56","1","3.36","1.66","18","643","98","545","0.15241057542768274"
"5","0.52","2.81","1.56","1","3.36","1.66","22","675","111","564","0.16444444444444445"
"8","0.52","2.81","1.56","1","3.36","1.66","19","650","122","528","0.18769230769230769"
"3","0.52","2.81","1.56","1","3.36","1.66","27","657","93","564","0.1415525114155251"
"6","0.52","2.81","1.56","1","3.36","1.66","19","658","80","578","0.12158054711246201"
"2","0.52","2.81","1.56","1","3.36","1.66","27","703","146","557","0.20768136557610242"
"7","0.52","2.81","1.56","1","3.36","1.66","16","691","84","607","0.12156295224312591"
"12","0.52","2.81","1.56","1","3.36","1.66","24","672","110","562","0.1636904761904762"
"8","0.52","2.81","1.56","1","3.36","1.66","20","652","125","527","0.19171779141104295"
"4","0.52","2.81","1.56","1","3.36","1.66","27","686","121","565","0.17638483965014579"
"9","0.52","2.81","1.56","1","3.36","1.66","24","643","123","520","0.19129082426127528"
"5","0.52","2.81","1.56","1","3.36","1.66","23","676","113","563","0.16715976331360946"
"10","0.52","2.81","1.56","1","3.36","1.66","19","639","98","541","0.15336463223787167"
"3","0.52","2.81","1.56","1","3.36","1.66","28","656","97","559","0.14786585365853658"
"8","0.52","2.81","1.56","1","3.36","1.66","21","657","128","529","0.1948249619482496"
"12","0.52","2.81","1.56","1","3.36","1.66","25","668","113","555","0.1691616766467066"
"5","0.52","2.81","1.56","1","3.36","1.66","24","673","113","560","0.16790490341753342"
"6","0.52","2.81","1.56","1","3.36","1.66","20","659","84","575","0.1274658573596358"
"9","0.52","2.81","1.56","1","3.36","1.66","25","636","124","512","0.1949685534591195"
"7","0.52","2.81","1.56","1","3.36","1.66","17","692","84","608","0.12138728323699421"
"10","0.52","2.81","1.56","1","3.36","1.66","20","635","99","536","0.15590551181102363"
"2","0.52","2.81","1.56","1","3.36","1.66","28","709","148","561","0.20874471086036672"
"8","0.52","2.81","1.56","1","3.36","1.66","22","655","132","523","0.2015267175572519"
"5","0.52","2.81","1.56","1","3.36","1.66","25","672","114","558","0.16964285714285715"
"3","0.52","2.81","1.56","1","3.36","1.66","29","657","103","554","0.1567732115677321"
